"gene;AN;origin;antibiotic"
"beta_lactamase;KJ693151_1;soil;CAZ"
"beta_lactamase;KJ694845_1;soil;CTX"
"beta_lactamase;KJ695017_1;soil;CAZ"
"beta_lactamase;KJ696409_1;soil;PEN"
"beta_lactamase;KJ694881_1;soil;CTX"
"beta_lactamase;KJ692764_1;soil;CAZ"
"beta_lactamase;KJ692961_1;soil;CAZ"
"beta_lactamase;KJ692078_1;soil;CAZ"
"beta_lactamase;KJ694676_1;soil;CAZ"
"beta_lactamase;KJ695734_1;soil;ATM"
"beta_lactamase;KJ693782_1;soil;PIP"
"beta_lactamase;KJ693154_1;soil;PEN"
"beta_lactamase;KJ693149_1;soil;CAZ"
"beta_lactamase;KJ693733_1;soil;CAZ"
"beta_lactamase;KJ692077_1;soil;CAZ"
"beta_lactamase;KJ696314_1;soil;PEN"
"beta_lactamase;KJ695460_1;soil;PEN"
"beta_lactamase;KJ693544_1;soil;PEN"
"beta_lactamase;KJ695461_1;soil;PEN"
"beta_lactamase;KJ692083_1;soil;CAZ"
"beta_lactamase;KJ692465_1;soil;CAZ"
"beta_lactamase;KJ692823_1;soil;FOX"
"beta_lactamase;KJ692455_1;soil;CTX"
"beta_lactamase;KJ694724_1;soil;CAZ"
"beta_lactamase;KJ693634_1;soil;CAZ"
"beta_lactamase;KJ694674_1;soil;FOX"
"beta_lactamase;KJ695099_1;soil;FOX"
"beta_lactamase;KJ693690_1;soil;FOX"
"beta_lactamase;KJ692110_1;soil;FOX"
"beta_lactamase;KJ695683_1;soil;CAZ"
"beta_lactamase;KJ692723_1;soil;PIP"
"beta_lactamase;KJ692826_1;soil;FOX"
"beta_lactamase;KJ692957_1;soil;CAZ"
"beta_lactamase;KJ694504_1;soil;PIP"
"beta_lactamase;KJ695258_1;soil;FOX"
"beta_lactamase;KJ695218_1;soil;PEN"
"beta_lactamase;KJ695246_1;soil;PIP"
"beta_lactamase;KJ695237_1;soil;TZP"
"beta_lactamase;KJ693689_1;soil;FOX"
"beta_lactamase;KJ695973_1;soil;FOX"
"beta_lactamase;KJ694217_1;soil;TZP"
"beta_lactamase;KJ692174_1;soil;CAZ"
"beta_lactamase;KJ694529_1;soil;CAZ"
"beta_lactamase;KJ694723_1;soil;CAZ"
"beta_lactamase;KJ695816_1;soil;FOX"
"beta_lactamase;KJ692765_1;soil;CAZ"
"beta_lactamase;KJ692772_1;soil;FOX"
"beta_lactamase;KJ694709_1;soil;CAZ"
"beta_lactamase;KJ696301_1;soil;FOX"
"beta_lactamase;KJ691922_1;soil;ATM"
"beta_lactamase;KJ692117_1;soil;FOX"
"beta_lactamase;KJ692085_1;soil;FOX"
"beta_lactamase;KJ692931_1;soil;FOX"
